SSTOERC,RAJ2000,DEJ2000,[3_6],[4_5],[5_8],[8_0],[24],Jmag,Hmag,Ksmag,e_[3_6],e_[4_5],e_[5_8],e_[8_0],e_[24],e_Jmag,e_Hmag,e_Ksmag,Type,Phase,f_Type,alpha,M,W
"G042.8259-01.0383",288.337708,8.316101,14.309,,,,,15.341,14.807,14.399,0.129,,,,,0.067,0.096,0.095,-100,0,"  ",,0,0
"G042.8217-01.0364",288.334076,8.313263,11.303,11.241,11.023,10.978,,13.674,12.166,11.555,0.012,0.015,0.048,0.055,,0.024,0.023,0.026,99,1,"  ",,0,0
"G042.8215-01.0351",288.332794,8.313775,13.934,,,,,,,,0.091,,,,,,,,-100,0,"  ",,0,0
"G042.8237-01.0367",288.335297,8.314890,13.659,13.475,,,,,14.923,14.106,0.044,0.082,,,,,0.079,0.064,99,2,"  ",,0,0
"G042.8239-01.0338",288.332825,8.316457,13.340,13.382,,,,,,,0.042,0.072,,,,,,,-100,0,"  ",,0,0
"G042.8270-01.0377",288.337738,8.317417,13.389,13.490,13.354,,,14.591,13.902,13.678,0.048,0.084,0.208,,,0.050,0.053,0.066,99,2,"  ",,0,0
"G042.8250-01.0351",288.334473,8.316860,14.246,14.059,,,,,15.039,14.555,0.076,0.114,,,,,0.091,0.104,-100,0,"  ",,0,0
"G042.8276-01.0466",288.346008,8.313792,13.513,13.527,,,,15.622,14.400,,0.052,0.086,,,,0.075,0.045,,-100,0,"  ",,0,0
"G042.8309-01.0488",288.349457,8.315747,14.031,14.000,,,,,,,0.105,0.137,,,,,,,-100,0,"  ",,0,0
"G042.8262-01.0442",288.343170,8.313636,,,,12.233,,,,,,,,0.175,,,,,-100,0,"  ",,0,0
"G042.8287-01.0456",288.345612,8.315195,14.371,,,,,15.476,14.780,,0.101,,,,,0.076,0.075,,-100,0,"  ",,0,0
"G042.8324-01.0476",288.349121,8.317590,14.643,,,,,,,,0.224,,,,,,,,-100,0,"  ",,0,0
"G042.8345-01.0506",288.352753,8.318092,8.136,8.190,8.064,8.049,,10.514,9.070,8.467,0.003,0.004,0.008,0.009,,0.022,0.021,0.021,99,1,"  ",,0,0
"G042.8362-01.0465",288.349854,8.321463,12.534,12.553,12.449,,,14.751,13.451,12.892,0.030,0.045,0.136,,,0.043,0.031,0.034,99,2,"  ",,0,0
"G042.8385-01.0507",288.354767,8.321509,11.882,11.860,11.929,11.631,,14.705,13.043,12.311,0.024,0.037,0.081,0.112,,0.056,0.045,0.040,99,1,"  ",,0,0
"G042.8381-01.0489",288.352966,8.321994,13.889,,,,,15.258,14.332,14.120,0.120,,,,,0.069,0.061,0.090,-100,0,"  ",,0,0
"G042.8276-01.0409",288.340851,8.316485,9.268,9.370,9.170,9.175,,11.030,9.933,9.476,0.005,0.006,0.014,0.017,,0.022,0.023,0.021,99,1,"  ",,0,0
"G042.8318-01.0443",288.345917,8.318572,14.682,,,,,,,,0.111,,,,,,,,-100,0,"  ",,0,0
"G042.8318-01.0409",288.342804,8.320188,,,,11.856,,,,,,,,0.127,,,,,-100,0,"  ",,0,0
"G042.8341-01.0415",288.344421,8.321912,15.255,,,,,,,,0.161,,,,,,,,-100,0,"  ",,0,0
"G042.8310-01.0395",288.341217,8.320046,13.616,13.617,,,,14.484,14.011,13.918,0.053,0.084,,,,0.029,0.029,0.063,99,2,"  ",,0,0
"G042.8331-01.0399",288.342529,8.321732,,,,11.881,,,,,,,,0.126,,,,,-100,0,"  ",,0,0
"G042.8381-01.0454",288.349823,8.323590,14.244,,,,,,,,0.114,,,,,,,,-100,0,"  ",,0,0
"G042.8373-01.0434",288.347626,8.323904,11.426,11.458,11.340,11.602,,12.694,11.853,11.570,0.012,0.020,0.056,0.111,,0.029,0.029,0.030,99,1,"  ",,0,0
"G042.8351-01.0388",288.342438,8.324049,,,,11.667,,,,,,,,0.099,,,,,-100,0,"  ",,0,0
"G042.7987-01.0232",288.311432,8.299039,14.629,14.702,,,,,15.196,,0.082,0.201,,,,,0.086,,-100,0,"  ",,0,0
"G042.8004-01.0227",288.311768,8.300783,14.398,14.401,,,,,15.362,14.833,0.095,0.181,,,,,0.118,0.123,-100,0,"  ",,0,0
"G042.7996-01.0206",288.309540,8.301027,14.332,14.390,,,,15.923,14.822,14.418,0.071,0.157,,,,0.072,0.071,0.086,99,2,"  ",,0,0
"G042.7976-01.0183",288.306610,8.300369,15.302,,,,,,,,0.135,,,,,,,,-100,0,"  ",,0,0
"G042.7939-01.0118",288.299042,8.300019,14.239,14.040,,,,15.392,14.420,14.089,0.073,0.106,,,,0.021,0.021,0.021,99,2,"  ",,0,0
"G042.7915-01.0085",288.294952,8.299479,14.889,,,,,17.709,16.074,15.318,0.112,,,,,0.037,0.029,0.028,-100,0,"  ",,0,0
"G042.7944-01.0086",288.296387,8.301996,12.842,12.684,12.582,12.837,,15.582,13.895,13.204,0.024,0.034,0.102,0.217,,0.021,0.020,0.020,99,2,"  ",,0,0
"G042.7972-01.0154",288.303772,8.301361,14.222,14.241,,,,16.657,15.217,14.574,0.060,0.180,,,,0.024,0.022,0.022,99,2,"  ",,0,0
"G042.7970-01.0140",288.302460,8.301757,13.546,13.613,,13.486,,16.253,14.745,14.098,0.046,0.117,,0.447,,0.022,0.021,0.021,99,2,"  ",,0,0
"G042.7995-01.0162",288.305603,8.302973,12.617,12.694,12.561,13.202,,14.706,13.420,12.946,0.021,0.047,0.107,0.346,,0.020,0.020,0.020,99,2,"  ",,0,0
"G042.8019-01.0150",288.305634,8.305618,9.599,9.720,9.486,9.502,,11.750,10.413,9.908,0.005,0.007,0.017,0.018,,0.022,0.023,0.020,99,1,"  ",,0,0
"G042.7982-01.0112",288.300507,8.304152,12.950,13.006,12.944,,,15.935,14.247,13.489,0.054,0.082,0.193,,,0.021,0.020,0.020,99,2,"  ",,0,0
"G042.7995-01.0107",288.300659,8.305546,,13.513,,,,16.798,15.105,14.344,,0.090,,,,0.025,0.022,0.022,-100,0,"  ",,0,0
"G042.7981-01.0085",288.298065,8.305335,13.271,13.235,,,,14.834,14.135,13.975,0.038,0.056,,,,0.020,0.020,0.021,99,2,"  ",,0,0
"G042.7997-01.0090",288.299225,8.306556,13.888,13.674,,,,16.615,15.058,14.316,0.062,0.083,,,,0.023,0.022,0.022,99,2,"  ",,0,0
"G042.8021-01.0109",288.302063,8.307760,13.760,13.658,,,,15.453,14.360,13.968,0.064,0.087,,,,0.021,0.020,0.021,99,2,"  ",,0,0
"G042.8028-01.0246",288.314667,8.301959,11.795,11.768,11.772,11.666,,13.597,12.478,,0.014,0.022,0.067,0.092,,0.032,0.032,,99,1,"  ",,0,0
"G042.8033-01.0227",288.313171,8.303370,14.201,14.318,,,,15.253,14.471,,0.092,0.163,,,,0.081,0.095,,-100,0,"  ",,0,0
"G042.8049-01.0207",288.312134,8.305654,14.410,14.053,,,,,,,0.096,0.109,,,,,,,-100,0,"  ",,0,0
"G042.8071-01.0224",288.314636,8.306847,12.694,12.761,13.257,,,15.165,13.768,13.149,0.025,0.038,0.199,,,0.045,0.025,0.032,99,2,"  ",,0,0
"G042.8127-01.0287",288.322937,8.308885,13.507,13.320,,,,15.027,14.171,13.756,0.049,0.064,,,,0.043,0.042,0.046,99,2,"  ",,0,0
"G042.8122-01.0259",288.320221,8.309715,12.423,12.477,12.440,,,14.610,13.297,12.802,0.019,0.035,0.126,,,0.038,0.034,0.029,99,2,"  ",,0,0
"G042.8108-01.0236",288.317535,8.309604,14.670,14.774,,,,,,14.866,0.114,0.182,,,,,,0.113,-100,0,"  ",,0,0
"G042.8121-01.0227",288.317261,8.311170,13.855,14.144,,,,,14.987,14.437,0.054,0.128,,,,,0.093,0.103,-100,0,"  ",,0,0
"G042.8130-01.0236",288.318542,8.311462,,14.050,,,,,14.591,14.312,,0.126,,,,,0.088,0.095,-100,0,"  ",,0,0
"G042.8043-01.0149",288.306641,8.307888,,14.223,,,,16.139,15.229,14.807,,0.145,,,,0.022,0.022,0.023,-100,0,"  ",,0,0
"G042.8070-01.0193",288.311920,8.308202,13.568,13.666,,,,16.434,14.792,14.045,0.048,0.076,,,,0.023,0.021,0.021,99,2,"  ",,0,0
"G042.8097-01.0180",288.311981,8.311168,12.345,12.188,12.278,,,14.449,13.158,12.633,0.022,0.030,0.132,,,0.020,0.020,0.020,99,2,"  ",,0,0
"G042.8077-01.0144",288.307831,8.311115,13.574,13.618,,,,15.408,14.240,13.818,0.054,0.084,,,,0.021,0.020,0.021,99,2,"  ",,0,0
"G042.8090-01.0138",288.307861,8.312552,13.780,,,,,16.656,15.039,14.311,0.119,,,,,0.024,0.022,0.022,-100,0,"  ",,0,0
"G042.8099-01.0147",288.309113,8.312852,13.824,13.661,,,,15.472,14.300,13.884,0.096,0.097,,,,0.021,0.020,0.021,99,2,"  ",,0,0
"G042.8108-01.0135",288.308472,8.314200,13.877,13.758,,,,15.721,14.743,14.319,0.105,0.127,,,,0.021,0.021,0.022,99,2,"  ",,0,0
"G042.8098-01.0133",288.307831,8.313455,13.486,,,,,16.412,14.789,14.083,0.083,,,,,0.022,0.021,0.021,-100,0,"  ",,0,0
"G042.8103-01.0194",288.313477,8.311087,11.996,11.978,11.809,12.349,,14.004,12.811,12.359,0.020,0.033,0.089,0.204,,0.020,0.020,0.020,99,2,"  ",,0,0
"G042.8123-01.0206",288.315521,8.312279,14.191,14.368,,,,17.009,15.400,14.713,0.086,0.163,,,,0.026,0.023,0.023,99,2,"  ",,0,0
"G042.8154-01.0207",288.317017,8.315012,13.447,13.348,,,,14.038,13.477,13.370,0.042,0.053,,,,0.020,0.020,0.020,99,2,"  ",,0,0
"G042.8141-01.0151",288.311432,8.316460,13.924,14.014,,,,14.807,14.229,13.997,0.074,0.134,,,,0.020,0.020,0.021,99,2,"  ",,0,0
"G042.8144-01.0168",288.313141,8.315929,12.351,12.361,12.309,12.225,,14.292,13.083,12.651,0.026,0.033,0.122,0.142,,0.020,0.020,0.020,99,1,"  ",,0,0
"G042.8162-01.0178",288.314880,8.317071,14.486,,,,,16.136,15.232,14.810,0.103,,,,,0.022,0.022,0.023,-100,0,"  ",,0,0
"G042.8157-01.0161",288.313110,8.317396,12.077,12.052,12.090,12.083,,14.305,12.923,12.387,0.024,0.035,0.104,0.137,,0.020,0.020,0.020,99,1,"  ",,0,0
"G042.7922-01.0049",288.292023,8.301782,13.821,13.575,,,,15.121,14.255,13.902,0.063,0.094,,,,0.020,0.020,0.021,99,2,"  ",,0,0
"G042.7933-01.0040",288.291779,8.303147,12.185,12.141,11.968,12.301,,15.209,13.396,12.625,0.018,0.031,0.080,0.166,,0.020,0.020,0.020,99,1,"  ",,0,0
"G042.7944-01.0046",288.292816,8.303871,12.556,12.507,,,,13.923,13.345,13.208,0.028,0.040,,,,0.020,0.020,0.020,99,2,"  ",,0,0
"G042.7950-01.0020",288.290771,8.305620,11.049,11.068,10.925,10.935,,14.228,12.324,11.598,0.010,0.014,0.046,0.058,,0.020,0.025,0.025,99,1,"  ",,0,0
"G042.7946-01.0001",288.288879,8.306117,14.933,,,,,16.179,15.329,14.913,0.160,,,,,0.022,0.023,0.024,-100,0,"  ",,0,0
"G042.7975-01.0037",288.293488,8.306995,15.030,,,,,17.937,16.194,15.530,0.136,,,,,0.043,0.030,0.031,-100,0,"  ",,0,0
"G042.7977-01.0019",288.291962,8.307984,13.351,13.523,,,,14.432,13.773,13.563,0.038,0.081,,,,0.020,0.020,0.020,99,2,"  ",,0,0
"G042.7990-01.0054",288.295715,8.307527,14.499,,,,,16.016,15.133,14.782,0.087,,,,,0.021,0.022,0.023,-100,0,"  ",,0,0
